player_id,name,team,xg_for,xg_against,toi_sec,xg_for_60,xg_against_60,rel_off_60,rel_def_60,map_path,games_played
8483609,Adam Klapka #43,CGY,8.600464450809472,10.60550247762699,13636.0,2.2705831638980714,2.7999273188220273,,,,26
8482074,Connor Zary #47,CGY,11.734327855823471,9.669437832755321,17405.0,2.427094529213703,1.9999986324572911,,,,26
8480028,Morgan Frost #16,CGY,14.806958003364926,13.67495964942926,18117.0,2.9422668660437012,2.7173292895040757,,,,27
8480797,Joel Farabee #86,CGY,17.840436717330142,13.904152762907032,20182.0,3.182319501654371,2.4801778786277535,,,,28
8481692,Dustin Wolf #32,CGY,14.016286995529859,11.904018120463233,20560.0,2.454213676260092,2.0843611494974534,,,,7
8484768,Zayne Parekh #19,CGY,6.796620128538784,5.07394674887674,8427.0,2.903504504893749,2.16758138079462,,,,13
8482209,Rory Kerins #6,CGY,2.877019332898236,1.2524182995301774,2190.0,4.72934684859984,2.0587698074468666,,,,3
8477346,MacKenzie Weegar #52,CGY,22.874671301639395,20.11507718523668,28160.0,2.9243187743573094,2.571529753794462,,,,28
8475172,Nazem Kadri #91,CGY,20.34801595483942,15.557061403116448,23256.0,3.1498476710277736,2.40821383949171,,,,28
8474150,Mikael Backlund #11,CGY,13.407731305338961,11.990259652118468,21005.0,2.297921099701036,2.0549838013628414,,,,28
8476456,Jonathan Huberdeau #10,CGY,15.701814504617552,11.223421700163069,16146.0,3.5009619854219736,2.502435161686303,,,,21
8477993,Justin Kirkland #23,CGY,3.0952088071042505,3.1314069513146805,4414.0,2.524411351512302,2.553934079006083,,,,10
8479402,Jake Bean #24,CGY,10.219506053029914,8.827573427495242,12067.0,3.0488291862855466,2.6335679405803325,,,,14
8481068,Yegor Sharangovich #17,CGY,12.390634082534884,11.986502930060123,16062.0,2.7771312848415874,2.686552767290278,,,,24
8478397,Rasmus Andersson #4,CGY,18.226621326479968,19.747511451155994,26910.0,2.4383439901645443,2.6418075519941127,,,,27
